"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.5","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2","0.997678","192.168.0.5","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3","1.197879","fe80::6c60:9741:b346:84df","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"4","1.996496","192.168.0.5","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5","3.385378","fe80::6c60:9741:b346:84df","ff02::1:2","DHCPv6","151","Solicit XID: 0x720016 CID: 0001000120b647e6e006e6262ea5 "
"6","3.582000","HonHaiPr_25:a0:91","Broadcast","ARP","42","Who has 192.168.0.2? Tell 192.168.0.5"
"7","3.582033","HonHaiPr_26:2e:a5","HonHaiPr_25:a0:91","ARP","42","192.168.0.2 is at e0:06:e6:26:2e:a5"
"8","3.585849","192.168.0.5","192.168.0.2","TCP","66","5981  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"9","3.587867","192.168.0.5","192.168.0.2","TCP","66","5982  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","3.589106","192.168.0.5","192.168.0.2","TCP","66","5983  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"11","3.590504","192.168.0.5","192.168.0.2","TCP","66","5984  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","3.591618","192.168.0.5","192.168.0.2","TCP","66","5985  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"13","3.593334","192.168.0.5","192.168.0.2","TCP","66","5986  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","3.593400","192.168.0.5","192.168.0.2","TCP","66","5987  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","3.594401","192.168.0.5","192.168.0.2","TCP","66","5988  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"16","3.595503","192.168.0.5","192.168.0.2","TCP","66","5989  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"17","3.597286","192.168.0.5","192.168.0.2","TCP","66","5990  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"18","3.598097","192.168.0.5","192.168.0.2","TCP","66","5991  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"19","3.598784","192.168.0.5","192.168.0.2","TCP","66","5992  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"20","3.600970","192.168.0.5","192.168.0.2","TCP","66","5993  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","3.602082","192.168.0.5","192.168.0.2","TCP","66","5994  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"22","3.603267","192.168.0.5","192.168.0.2","TCP","66","5995  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23","3.604288","192.168.0.5","192.168.0.2","TCP","66","5996  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"24","3.605934","192.168.0.5","192.168.0.2","TCP","66","5997  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","3.606785","192.168.0.5","192.168.0.2","TCP","66","5998  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","3.607861","192.168.0.5","192.168.0.2","TCP","66","5999  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"27","3.608530","192.168.0.5","192.168.0.2","TCP","66","6000  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"28","3.609841","192.168.0.5","192.168.0.2","TCP","66","6001  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"29","3.609910","192.168.0.5","192.168.0.2","TCP","66","6002  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"30","3.610944","192.168.0.5","192.168.0.2","TCP","66","6003  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"31","3.611962","192.168.0.5","192.168.0.2","TCP","66","6004  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"32","3.612024","192.168.0.5","192.168.0.2","TCP","66","6005  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","3.613153","192.168.0.5","192.168.0.2","TCP","66","6006  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"34","3.614272","192.168.0.5","192.168.0.2","TCP","66","6007  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"35","3.614458","192.168.0.5","192.168.0.2","TCP","66","6008  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"36","3.615875","192.168.0.5","192.168.0.2","TCP","66","6009  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"37","3.615944","192.168.0.5","192.168.0.2","TCP","66","6010  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"38","3.616904","192.168.0.5","192.168.0.2","TCP","66","6011  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"39","3.617038","192.168.0.5","192.168.0.2","TCP","66","6012  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"40","3.617994","192.168.0.5","192.168.0.2","TCP","66","6013  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"41","3.618058","192.168.0.5","192.168.0.2","TCP","66","6014  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"42","3.618147","192.168.0.5","192.168.0.2","TCP","66","6015  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"43","3.619173","192.168.0.5","192.168.0.2","TCP","66","6016  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"44","3.619345","192.168.0.5","192.168.0.2","TCP","66","6017  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"45","3.620364","192.168.0.5","192.168.0.2","TCP","66","6018  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"46","3.620537","192.168.0.5","192.168.0.2","TCP","66","6019  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"47","3.621793","192.168.0.5","192.168.0.2","TCP","66","6020  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"48","3.621924","192.168.0.5","192.168.0.2","TCP","66","6021  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"49","3.623864","192.168.0.5","192.168.0.2","TCP","66","6022  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
